country,year,gdp_usd,gdp_growth_pct,population,fdi_net_inflows_pct_gdp,manufacturing_pct_gdp,access_to_electricity_pct,electric_power_consumption_kwh_pc,gross_capital_formation_pct_gdp,inflation_pct,total_imports_usd,wage_usd,lpi_score,industry_pct_gdp,"cobalt,_mine",graphite,lithium_minerals,manganese_ore,"nickel,_mine",political_stability_est,control_of_corruption_est,rule_of_law_est,total_disorder_events,acled_covered
Armenia,2012,10619320682.9474,7.20000000096486,3024100.0,4.67672759828403,9.42475853227752,99.5,1804.50381931814,23.5988356156116,2.55802007757907,24893.0,223.7943729516807,2.56,27.8270946139077,0.0,0.0,0.0,0.0,0.0,0.154794976115227,-0.588001489639282,-0.418281972408295,0,False
Armenia,2013,11121464437.0415,3.3,3022000.0,3.11193185351156,9.68257531952384,99.4,1851.75380542687,21.2125120032579,5.78966778544651,93554.0,233.6843012689536,2.6163615,26.7090481417071,0.0,0.0,0.0,0.0,0.0,0.11038514226675,-0.53053343296051,-0.340888947248459,0,False
Armenia,2014,11609513246.795797,3.60000000058993,3013800.0,3.50211415457343,9.66640553649803,99.7,1895.28170416086,19.9950573934454,2.98130868933672,293919.0,236.1767618409674,2.672723,25.2705329463993,0.0,0.0,0.0,0.0,0.0,-0.297135800123215,-0.565446794033051,-0.417726755142212,0,False
Armenia,2015,10553337518.413998,3.19999999896625,3004600.0,1.74473701796819,9.20617105938632,100.0,1909.40557811356,20.6125615954784,3.73169119261693,254816.0,212.04069525188595,2.4391179999999997,25.7086994351611,0.0,0.0,0.0,0.0,0.0,-0.256798654794693,-0.609746634960175,-0.462551325559616,0,False
Armenia,2016,10546136235.521898,0.199999999825991,2992300.0,3.16536727816995,10.2846499812967,99.8,1889.85061658256,17.357719658433,-1.403607559009,322487.0,213.26206657560516,2.205513,25.5771330395605,0.0,0.0,0.0,0.0,0.0,-0.667951107025146,-0.659795224666595,-0.160894498229027,0,False
Armenia,2017,11527458709.015797,7.50000000164144,2979400.0,2.19257337687685,10.631126108104,99.7,2006.10861247231,17.6483759985837,0.969553268816138,431121.42,220.5647588452876,2.2644104,25.8095323791656,0.0,0.0,0.0,0.0,0.0,-0.626211166381836,-0.637015163898468,-0.209393918514252,0,False
Armenia,2019,13619290539.211596,7.59999999853918,2962500.0,0.736361516844353,11.7114918602964,100.0,2084.05063291139,15.8155984319769,1.44344660770698,1125855.4,247.77152451409495,2.3233078,24.9716084573435,0.0,0.0,0.0,0.0,0.0,-0.420024991035461,-0.227039858698845,-0.177464514970779,1682,True
Armenia,2020,12641698583.215197,-7.19999999920631,2961500.0,0.463408850763634,12.344909801717,100.0,2114.13135235523,17.7739212520107,1.21143577838465,941300.59,255.501070798641,2.3822052,26.8172956979296,0.0,0.0,0.0,0.0,0.0,-0.77164489030838,-0.003474973840639,-0.125831425189972,1574,True
Armenia,2021,13878908628.937796,5.80000000065645,2962299.9999999995,2.64030281211345,11.0315905634186,100.0,2262.09364345272,21.2039418643996,7.18483629443371,1345762.06,264.64397645640054,2.3822052,26.3643404113901,0.0,0.0,0.0,0.0,0.0,-0.804041028022766,0.0486846454441547,-0.119838461279869,486,True
Armenia,2022,19513506553.12509,12.5999999997766,2969200.0,4.99991586140552,11.4321929622965,100.0,2403.67775831874,21.0691132267399,8.64091108973855,2086955.16,315.71619148811254,2.5,25.4370966437794,0.0,0.0,0.0,0.0,0.0,-0.740756273269653,0.0279071740806103,-0.169515803456306,570,True
